path,lang,prob,text
sound_0000001.mp3,de,0.521,"Mach, Kuchen, Räidei..."
sound_0000002.mp3,ar,0.415,
sound_0000003.mp3,ar,0.287,ارسوز اشتب رايش ومي
sound_0000004.mp3,en,0.548,I loved...
sound_0000005.mp3,ar,0.387,فرش شخط
sound_0000006.mp3,en,0.346,"I'm calm, I'm calm"
sound_0000007.mp3,he,0.234,קשוד ראשומי
sound_0000008.mp3,pl,0.328,A przecież radzisz ten tłózen.
sound_0000009.mp3,lt,0.505,Tai šoma jumam arbasu. Anklmadam kašcinan.
sound_0000010.mp3,kk,0.304,"Абон, райшом, ші хорл махсаузыштым садма, на кейнаін ма."
sound_0000011.mp3,he,0.363,"אבן עינבון, שיכורו הוא החימוזנ..."
sound_0000012.mp3,he,0.327,שחורל אקנחי מוזנן
sound_0000013.mp3,zh,0.203,那是空神師傅的
sound_0000014.mp3,ja,0.132,カムズナ 梨尚 イジャレ
sound_0000015.mp3,he,0.672,ראשום איזה רי נחימהוזנן.
sound_0000016.mp3,ru,0.230,жарымманом и
sound_0000017.mp3,ar,0.333,عربسو عربسو
sound_0000018.mp3,ru,0.685,вас будут ждать.
sound_0000019.mp3,kk,0.296,"Ей жаруғам, амкалма каштіңан."
sound_0000020.mp3,ar,0.408,خخشف خخطو
sound_0000021.mp3,ru,0.886,Важал Вая.
sound_0000022.mp3,ar,0.657,فشتم ارجدخصنا ارجدخصشتم اخشاوائي
sound_0000023.mp3,kk,0.476,"Куталң дичайді мейруш, ахшав..."
sound_0000024.mp3,ru,0.946,"Мне кажется, ночи будет дождь."
sound_0000025.mp3,tr,0.311,"Monteyi Majardem'e tıkdırsağu, Jemag, Walsag, Shard, Fajjah,"
sound_0000026.mp3,ru,0.410,"Ух, я же могу вам ваилю."
sound_0000027.mp3,ar,0.480,برمي تروع
sound_0000028.mp3,az,0.542,Sağlamayı aqaşı zimag.
sound_0000029.mp3,bg,0.220,"Нърта къу, рагвалзъ"
sound_0000030.mp3,bg,0.361,"Сръщу ду, валзегон, райшом, хърт!"
sound_0000031.mp3,ar,0.501,شردوم وارنجن ويه
sound_0000032.mp3,ar,0.483,وارن تارخ در فيه خغرب
sound_0000033.mp3,kk,0.389,Куд хорзу шардыңон бон балышты бін шатайды баулыфын
sound_0000034.mp3,yi,0.411,פי דה עושר דחחטה הרביתן
sound_0000035.mp3,ar,0.186,خون والدف عدي ماجن of دازغ
sound_0000036.mp3,ru,0.841,Как я не люблю синий морсящий дождей?
sound_0000037.mp3,fr,0.900,Que se ajouent dit oui ?
sound_0000038.mp3,ro,0.238,"Voi, vudi, mi-n farașă de noază de cagăm așa."
sound_0000039.mp3,lt,0.344,"Āfart Matšiži, Basauzin školām."
sound_0000040.mp3,en,0.537,"That's it, Aj. To Luggen Aj."
sound_0000041.mp3,nl,0.152,mag er je rajma.
sound_0000042.mp3,fr,0.277,c'est bon.
sound_0000043.mp3,ru,0.909,Пу-ричар. Вторник. Дэцсаг. Среда. Артэцсаг. Четверг. Сопарам. Пятница. Майрамбон. Суббота. Шабат. Ва
sound_0000044.mp3,ru,0.516,"Урифа, что децеджи, артецеджи, мах с аугаканом. Это было две недели тому назад. Уй-вы-ди, до вогу ри"
sound_0000045.mp3,he,0.850,סל שחת או
sound_0000046.mp3,ar,0.223,نرتقوا ارتشاخاته دوة دشاخاته اما فونز منه
sound_0000047.mp3,ru,0.911,"Салчахатулка, а мы аромбрдуом. Тебе мне нам, вам, ему им, Надо быть там, здесь. До, мах, ман, шу..."
sound_0000048.mp3,ar,0.353,بون دو وشا غطل
sound_0000049.mp3,ar,0.319,وارتشاخاته
sound_0000050.mp3,ru,0.604,Дэшам Ардагул.
sound_0000051.mp3,lt,0.416,Faraštam ar da gul...
sound_0000052.mp3,af,0.208,"5 minuten, Shaakhaterdag, m'n ban kalmakers."
sound_0000053.mp3,ru,0.924,У меня нас уже нет времени.
sound_0000054.mp3,ru,0.399,махан ростогнали.
sound_0000055.mp3,ar,0.780,أرخب
sound_0000056.mp3,en,0.727,That's a c-
sound_0000057.mp3,en,0.331,
sound_0000058.mp3,ru,0.307,Марти. апрель. апрель. май. май. июнь. июнь. июль. август. август. сентябрь. сентябрь. октябрь. октя
sound_0000059.mp3,ja,0.611,お疲れ様をお尻に マイ マイ
sound_0000060.mp3,ar,0.356,أردت
sound_0000061.mp3,ro,0.388,de făște.
sound_0000062.mp3,kk,0.285,"Касымайум райдайінс хумканіна, на тұр, таун, картуф, шазын."
sound_0000063.mp3,ru,0.956,"На Анатолго, Картов. В августе мы поедем на берег Чёрного моря в Турцию. А в Густы Мах, а Саузыща, Ш"
sound_0000064.mp3,fr,0.683,"S'abonne, sa..."
sound_0000065.mp3,ru,0.610,во раще.
sound_0000066.mp3,en,0.423,
sound_0000067.mp3,fr,0.399,"Abonne, roule..."
sound_0000068.mp3,ru,0.188,Обжар Бонжко.
sound_0000069.mp3,fr,0.394,MIR DEM GABON
sound_0000070.mp3,bg,0.298,Расстъджи сводка ма къжтай.
sound_0000071.mp3,bg,0.340,А вър ръща го за нарайшом.
sound_0000072.mp3,ru,0.745,"Райшом у зани Варн, боня до как-амбиши. Сенег в первый половине дня. Мить боня-фацаг-амбиши. 28 град"
sound_0000073.mp3,he,0.465,‫המחפצה קטן אשתם שמר.
sound_0000074.mp3,ru,0.260,"Город, Гауэр."
sound_0000075.mp3,ar,0.493,وقرجر دمتنق فسدي وغول
sound_0000076.mp3,de,0.578,Fählen die Schuhe.
