topic	row	note	audio	russian	ossetian
40. Утро	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Мы начинаем работать утром	Мах кусын райдайӕм райсомӕй
40. Утро	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Я приду утром	Ӕз ӕрцӕу дзынӕн райсомӕй
40. Утро	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Мы придем утром	Мах ӕрцӕудзыстӕм райсомӕй
40. Утро	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	в 7 часов.	авд сахатыл.
40. Утро	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	в 9 часов.	фараст сахатыл.
40. Утро	6	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Жди меня утром.	Ӕнхъӕлмӕ мӕм кӕс райсомӕй.
40. Утро	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Ждите нас утром.	Ӕнхъӕлмӕ нӕм кӕсут райсомӕй.
40. Утро	9	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Ты зайди за мной утром, буду ждать.	Райсомӕй-иу мӕм ӕрбацу, ӕнхъӕлмӕ дӕм кӕсдзынӕн.
41. Полдень	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Сегодня в полдень мы пойдем купаться.	Абон сихорыл мах цӕудзыстӕм нӕхи найынмӕ.
41. Полдень	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Сегодня в обед ты дома будешь?	Абон сихорыл уӕхимӕ уыдзынӕ?
42. Вечер	1	варианты в исходном PDF — сверить по Whisper/на слух	sound/0001.mp3	Где ты будешь вечером?	Кӕм уыдзынӕ изӕрӕй?
42. Вечер	2	варианты в исходном PDF — сверить по Whisper/на слух	sound/0002.mp3	Я вечером буду дома.	Ӕз изӕрӕй нӕхимӕ уыдзынӕн.
42. Вечер	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Приходи к нам вечером.	Изӕры-ма-иу нӕм ӕрбацу.
42. Вечер	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Приходите к нам вечером.	Изӕры-ма-иу нӕм ӕрбацӕут.
42. Вечер	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Вечером я тебя буду ждать.	Изӕры дӕм ӕнхъӕлмӕ кӕсдзынӕн.
42. Вечер	6	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Вечером я вас буду ждать.	Изӕры уӕм ӕнхъӕлмӕ кӕсдзынӕн.
43. Ночь	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Ночью в горах холодно.	Ӕхсӕв хӕхты уазал вӕййы.
43. Ночь	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Я обратно вернусь ночью.	Ӕз фӕстӕмӕ ӕрыздӕхдзынӕн ӕхсӕвы.
43. Ночь	3	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Какая темная ночь!	Куыд талынг ӕхсӕв у!
43. Ночь	4	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Какая прекрасная лунная ночь!	Куыд диссаджы мӕйрухс ӕхсӕв у!
