topic	rows	audio_filled	note_rows
40. Утро	9	9	8
41. Полдень	4	4	2
42. Вечер	6	6	6
43. Ночь	5	5	5
44. Времена года	14	14	10
45. Год	7	7	3
46. Дни недели	4	4	3
47. Час	10	10	5
48. Месяцы	9	9	8
49. Погода	13	13	11
50. Ч. 1. В городе, селе	10	10	10
50. Ч. 2. Заблудиться	4	4	3
50. Ч. 3. Мост	4	4	1
50. Ч. 4. Население	4	4	3
50. Ч. 5. Население	8	8	6
50. Ч. 6. Парк	8	8	3
50. Ч. 7. Площадь	3	3	2
50. Ч. 8. Рынок	4	4	3
50. Ч. 9. Улица	6	6	4
51. Ч.1. Адрес	5	5	4
51. Ч.2. Бандероль	2	2	1
51. Ч.3. Конверт, бланк	2	2	2
51. Ч.4. Открытка	2	2	1
51. Ч.5. Письмо	14	14	12
51. Ч.6. Почта, телеграф	3	3	3
51. Ч.7. Телеграмма	4	4	1
51. Ч.8. Парикмахерская	11	11	6
52. Фотография, фототовары	14	14	10
53. Ч.1. Ванна	4	4	4
53. Ч.10. Шитье	2	2	2
53. Ч.2. Гость, гостиница	1	1	1
53. Ч.3. Дверь	2	2	2
53. Ч.4. Окно	1	1	1
53. Ч.5. Камин	0	0	0
53. Ч.6. Швейцар	0	0	0
53. Ч.7. Чемодан	0	0	0
53. Ч.8. Стирка	1	1	1
53. Ч.9. Чистка	3	3	3
54. Ч.1. Ресторан, буфет, столовая	6	6	6
54. Ч.10. Приправа и специи	4	4	4
54. Ч.11. Счет	6	6	6
54. Ч.2. Завтрак, обед, ужин	11	11	9
54. Ч.3. Меню	5	5	5
54. Ч.4. Закуски	5	5	4
54. Ч.5. Первые блюда	3	3	3
54. Ч.6. Вторые блюда	9	9	3
54. Ч.7. Напитки	2	2	1
54. Ч.8. Порция	4	4	3
54. Ч.9. Прибор	11	11	10
55. Промышленные предприятия	22	22	12
56. Строительство	10	10	8
57. Ч.1. Сельское хозяйство	9	9	8
57. Ч.2. Инвентарь	7	7	3
57. Ч.3. Поле, степь, луг	7	7	5
57. Ч.4. Правление	7	7	3
57. Ч.5. Семена	6	6	5
57. Ч.6. Удобрения	3	3	3
57. Ч.7. Урожай	3	3	3
57. Ч.8. Ферма (неполная)	7	7	7
58. Сад, огород	7	7	4
59. Игрушки	9	9	6
60. Ч.1. Аудио, видокассеты, CD	10	10	10
60. Ч.2. Канцелярские товары	4	4	3
60. Ч.3. Музыкальные инструменты	4	4	1
60. Ч.4. Мебель	4	4	3
61. Ч.1. Булочные изделия	13	13	10
61. Ч.10. Фрукты	5	5	4
61. Ч.2. Варенье, повидло, сахар	4	4	3
61. Ч.3. Вино, напитки	6	6	3
61. Ч.4. Мясо, колбасы	6	6	5
61. Ч.5. Консервы	6	6	3
61. Ч.6. Конфеты	5	5	4
61. Ч.7. Крупа	2	2	1
61. Ч.8. Масло	3	3	2
61. Ч.9. Молоко, сметана, сыр	6	6	4
62. Ч.1. Одежда	10	10	9
62. Ч.2. Галантерея	6	6	5
62. Ч.3. Обувь	4	4	3
62. Ч.4. Ткани	3	3	1
63. Подарки	6	6	3
63. Хозяйственные товары	4	4	4
64. Ч.1. Театр	13	13	9
64. Ч.10. Дирижер	2	2	2
64. Ч.11. Режиссер	2	2	2
64. Ч.12. Искусство	3	3	3
64. Ч.13. Архитектура	3	3	2
64. Ч.14. Скульптура	2	2	1
64. Ч.15. Живопись	4	4	4
64. Ч.16. Художник	2	2	2
64. Ч.17. Кино	7	7	4
64. Ч.18. Музей	7	7	5
64. Ч.19. Выставка	3	3	2
64. Ч.2. Опера	6	6	4
64. Ч.20. Цирк	8	8	3
64. Ч.21. Самодеятельность	7	7	5
64. Ч.22. Билет	3	3	0
64. Ч.3. Балет	6	6	4
64. Ч.4. Ансамбль	4	4	2
64. Ч.6. Артист	3	3	1
64. Ч.7. Акт	3	3	2
64. Ч.8. Антракт	5	5	4
64. Ч.9. Программа	3	3	2
65. Ч.1. Образование	8	8	6
65. Ч.10. Лекция	6	6	5
65. Ч.11. Аудитория	5	5	4
65. Ч.12. Общежитие	5	5	4
65. Ч.13. Интернат	4	4	4
65. Ч.14. Преподаватель	6	6	5
65. Ч.15. Школа	8	8	6
65. Ч.16. Класс	3	3	1
65. Ч.17. Программа, план	6	6	6
65. Ч.18. Ученик	7	7	6
65. Ч.19. Урок	7	7	4
65. Ч.2. Ученый	5	5	2
65. Ч.20. Разговор с родителями	13	13	12
65. Ч.21. Экзамен, зачет, конкурс	7	7	6
65. Ч.22. Каникулы	5	5	5
65. Ч.23. Детский сад	6	6	4
65. Ч.24. Курсы	4	4	4
65. Ч.25. Библиотека	6	6	3
65. Ч.26. Читальня	4	4	3
65. Ч.4. Факультет	5	5	4
65. Ч.5. Кафедра	5	5	4
65. Ч.6. Студент	4	4	4
65. Ч.7. Стипендия	7	7	4
65. Ч.8. Курс	6	6	6
65. Ч.9. Лектор	1	1	1
65_Ч_3_Институт,_университет,_техникум,_колледж	16	16	12
66. Ч.1. Аптека. Лекарства	12	12	9
66. Ч.2. Болезнь	28	28	20
66. Ч.3. Больница	7	7	5
66. Ч.4. Врач	6	6	4
