path,url,topic,source_pdf,duration,sentence,sentence_rus,flag
sound_0000001.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000001.mp3,40. Утро,40. Утро.pdf,2.56,Мах кусын райдайӕм райсомӕй,Мы начинаем работать утром,-
sound_0000002.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000002.mp3,40. Утро,40. Утро.pdf,2.19,Ӕз ӕрцӕу дзынӕн райсомӕй,Я приду утром,-
sound_0000003.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000003.mp3,40. Утро,40. Утро.pdf,2.3,Мах ӕрцӕудзыстӕм райсомӕй,Мы придем утром,-
sound_0000004.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000004.mp3,40. Утро,40. Утро.pdf,0.8,авд сахатыл.,в 7 часов.,-
sound_0000005.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000005.mp3,40. Утро,40. Утро.pdf,0.98,фараст сахатыл.,в 9 часов.,-
sound_0000006.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000006.mp3,40. Утро,40. Утро.pdf,2.4,Ӕнхъӕлмӕ мӕм кӕс райсомӕй.,Жди меня утром.,-
sound_0000007.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000007.mp3,40. Утро,40. Утро.pdf,3.69,Ӕнхъӕлмӕ нӕм кӕсут райсомӕй.,Ждите нас утром.,-
sound_0000008.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000008.mp3,40. Утро,40. Утро.pdf,2.16,Расом мӕ раджы стын хъӕудзӕн.,Завтра мне надо будет встать рано утром.,-
sound_0000009.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000009.mp3,40. Утро,40. Утро.pdf,4.44,"Райсомӕй-иу мӕм ӕрбацу, ӕнхъӕлмӕ дӕм кӕсдзынӕн.","Ты зайди за мной утром, буду ждать.",-
sound_0000010.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000010.mp3,41. Полдень,41. Полдень.pdf,7.26,Абон сихорыл мах цӕудзыстӕм нӕхи найынмӕ.,Сегодня в полдень мы пойдем купаться.,-
sound_0000011.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000011.mp3,41. Полдень,41. Полдень.pdf,4.32,Абон сихорыл уӕхимӕ уыдзынӕ?,Сегодня в обед ты дома будешь?,-
sound_0000012.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000012.mp3,41. Полдень,41. Полдень.pdf,2.19,Сихорыл ӕз нӕхимӕ уыдзынӕн.,В полдень я буду дома.,-
sound_0000013.mp3,https://github.com/eduardgagite/nosu-task/blob/main/sound/sound_0000013.mp3,41. Полдень,41. Полдень.pdf,1.7,Ӕз кусын сихорӕй.,Я работаю с обеда.,-
