clip,lang,prob,text
dataset/40. Утро/sound/0001.mp3,de,0.329,"Mach Kuchen reidei'em, Asch!"
dataset/40. Утро/sound/0002.mp3,hy,0.179,Әрсау зенан әрсау зіштам
dataset/40. Утро/sound/0003.mp3,he,0.529,ראי שומי
dataset/40. Утро/sound/0004.mp3,en,0.575,of
dataset/40. Утро/sound/0005.mp3,ar,0.341,فرش شخطه
dataset/40. Утро/sound/0006.mp3,tl,0.196,ang kalmamam ang kalmanam
dataset/40. Утро/sound/0007.mp3,he,0.213,כשקשו ראי שאומי
dataset/40. Утро/sound/0008.mp3,ro,0.171,Raișom radiștin cauzon
dataset/40. Утро/sound/0009.mp3,lt,0.444,"Raikšoma jumam, arbasų, anklmadam kašcinan."
dataset/41. Полдень/sound/0001.mp3,kk,0.324,"Абон, райшом, шіхорл махсаузыштым садма, нақинайнымы."
dataset/41. Полдень/sound/0002.mp3,he,0.607,"אבן, עינבון, שיכורו, וחימהוזנה."
dataset/41. Полдень/sound/0003.mp3,he,0.261,שחורל אקנחי מוזנן
dataset/41. Полдень/sound/0004.mp3,zh,0.192,阿熊神師寶製作詞
dataset/42. Вечер/sound/0001.mp3,uk,0.223,Камузина Райшом Іжерин.
dataset/42. Вечер/sound/0002.mp3,he,0.546,אז ראשום איזה רי נחימהוזנן
dataset/42. Вечер/sound/0003.mp3,ru,0.430,и жрманом ию.
dataset/42. Вечер/sound/0004.mp3,ar,0.486,عربسو عربسو
dataset/42. Вечер/sound/0005.mp3,pl,0.479,I żarodam i żarłam.
dataset/42. Вечер/sound/0006.mp3,kk,0.381,Амғалма көшсіңан.
dataset/43. Ночь/sound/0002.mp3,ru,0.382,"Ох, шов, хахтова жалвая."
dataset/43. Ночь/sound/0003.mp3,ar,0.698,اجمع فاستمى رجدخصنا رجدخصاستم اخشاوي
dataset/43. Ночь/sound/0005.mp3,en,0.554,Kutthaland
dataset/43. Ночь/sound/0006.mp3,he,0.409,דישאג מירוש עכשיו הוא.
dataset/43. Ночь/sound/0007.mp3,ar,0.344,كتم قشي أخشف وارزن
dataset/44. Времена года/sound/0001.mp3,ru,0.628,весна
dataset/44. Времена года/sound/0002.mp3,kk,0.285,"Осін, афаз афонтей мажірдымы тұнерсауы жымың валзың шардфа жег"
dataset/44. Времена года/sound/0003.mp3,ru,0.689,Нет. Да.
dataset/44. Времена года/sound/0005.mp3,ar,0.331,برميط روار
dataset/44. Времена года/sound/0006.mp3,az,0.376,salmayı aqaşı žimag
dataset/44. Времена года/sound/0007.mp3,kk,0.281,"нір тқау, рағу алзыг."
dataset/44. Времена года/sound/0008.mp3,bg,0.388,"Сръщу ду, валзегон, райщом хахте."
dataset/44. Времена года/sound/0009.mp3,ar,0.519,شردهم وارنجن وي
dataset/44. Времена года/sound/0010.mp3,ar,0.247,وارنت أرخ در ويخر بنت
dataset/44. Времена года/sound/0011.mp3,kk,0.547,"Куд хорзу шардың бон балышды бін, шат аді баулафын."
dataset/44. Времена года/sound/0012.mp3,de,0.663,"Paida, Ausschard, Kachter, Arbieten"
